RefSeqGeneName	TadaGeneName	ExomeMutRate	dnLoF	caseLoF	ctrlLoF	transLoF	ntransLoF	dnMis3	caseMis3	ctrlMis3	transMis3	ntransMis3	SmallDelMutRate	dnSmallDel	tadaFdrAscSscExomeSscAgpSmallDel	65genes_tadaFdrAscSscExomeSscAgpSmallDel	tadaFdrAscSscExome	59genes_tadaFdrAscSscExome	tadaFdrAscExome	tadaFdrSscExome													
S100Z	S100Z	4.01E-06	0	0	0	0	0	0	0	0	0	0	2.95E-07	0	0.894549641	0	0.885356713	0	0.919170198	1													
CD69	CD69	6.84E-06	0	0	1	0	0	0	0	1	0	1	1.79E-07	0	0.894561368	0	0.893788458	0	0.895625794	1													
MANF	MANF	5.82E-06	0	0	0	0	0	0	0	1	0	0	1.84E-07	0	0.894573092	0	0.893475158	0	0.92070382	0.89937027													
NAA50	NAA50	5.15E-06	0	0	0	0	0	0	0	3	0	1	2.30E-07	0	0.894584812	0	0.890348594	0	0.919292677	0.897180532													
TTR	TTR	6.68E-06	0	0	0	0	1	0	2	4	0	1	1.86E-07	0	0.894596528	0	0.893340075	0	0.895520725	0.901861831													
DNM1L	DNM1L	2.78E-05	0	0	1	1	0	0	2	11	3	2	3.05E-07	0	0.89460824	0	0.884686282	0	0.878950716	0.939908078													
CLPSL1	CLPSL1	5.69E-06	0	0	0	0	0	0	0	0	0	0	1.89E-07	0	0.894619949	0	0.893204499	0	0.922225503	0.926918149													
RPS15A	RPS15A	5.63E-06	0	0	0	0	0	0	0	0	0	0	1.93E-07	0	0.894631654	0	0.892943274	0	0.922136883	0.818902416													
VPREB1	VPREB1	6.95E-06	0	0	0	0	1	0	2	3	1	1	1.69E-07	0	0.894643355	0	0.894494752	0	0.895881443	0.887771496													
NRGN	NRGN	5.66E-06	0	0	0	0	0	0	0	0	0	0	1.91E-07	0	0.894655052	0	0.893113845	0	0.922189048	1													
BTF3	BTF3	5.64E-06	0	0	0	0	0	0	0	0	0	0	1.92E-07	0	0.894666745	0	0.893000218	0	0.922152543	1													
CBX3	CBX3	5.79E-06	0	0	0	0	0	0	0	1	1	2	1.85E-07	0	0.894678434	0	0.893430184	0	0.920714854	0.899324512													
FBXO38	FBXO38	4.59E-05	0	1	0	0	0	0	3	22	4	10	2.95E-07	0	0.89469012	0	0.885550185	0	0.869271496	0.943141551													
NBPF7	NBPF7	1.47E-05	0	3	5	0	0	0	0	0	0	0	1.94E-07	0	0.894701802	0	0.892863401	0	0.888978039	1													
IL36RN	IL36RN	7.29E-06	0	0	1	0	0	0	0	6	0	0	1.58E-07	0	0.89471348	0	0.895145092	0	0.895973992	0.766978286													
IQCF5	IQCF5	5.83E-06	0	0	0	0	0	0	0	0	0	0	1.81E-07	0	0.894725155	0	0.893777314	0	0.922489527	1													
RNF7	RNF7	5.80E-06	0	0	0	0	0	0	0	1	0	0	1.87E-07	0	0.894736826	0	0.893407676	0	0.920637517	1													
PPP1R17	PPP1R17	5.80E-06	0	0	0	0	0	0	0	2	0	0	1.88E-07	0	0.894748494	0	0.893351351	0	0.920593218	0.819957336													
RPL15	RPL15	6.73E-06	0	0	1	0	0	0	0	0	0	0	1.84E-07	0	0.894760159	0	0.893676867	0	0.89668389	0.901988026													
MED11	MED11	6.95E-06	0	0	1	0	0	0	0	3	0	1	1.77E-07	0	0.89477182	0	0.894154333	0	0.895672399	0.902672723													
IRX1	IRX1	2.99E-05	0	0	1	1	0	0	1	3	1	0	1.81E-07	0	0.894783478	0	0.893866374	0	0.88023692	0.935988042													
LY6H	LY6H	5.86E-06	0	0	0	0	0	0	2	4	0	0	1.82E-07	0	0.894795132	0	0.893821871	0	0.92096733	0.899495761													
PAGE1	PAGE1	5.62E-06	0	0	0	0	0	0	0	0	0	0	1.96E-07	0	0.894806781	0	0.89288624	0	0.922121213	0.898828357													
CREG2	CREG2	5.98E-06	0	0	1	0	0	0	3	3	0	1	2.33E-07	0	0.894818428	0	0.890360796	0	0.894525598	0.820752068													
SRP14	SRP14	5.92E-06	0	0	0	0	0	0	0	2	1	0	1.79E-07	0	0.89483007	0	0.89402171	0	0.921010987	0.899700021													
ARL4A	ARL4A	6.19E-06	0	0	0	0	0	0	0	0	0	0	1.60E-07	0	0.894841709	0	0.895134347	0	0.923070027	1													
TRIM61	TRIM61	5.47E-06	0	0	0	0	0	0	0	2	0	0	2.11E-07	0	0.894853344	0	0.89196172	0	0.920016065	1													
RPS24	RPS24	5.40E-06	0	0	0	0	0	0	0	4	0	0	2.17E-07	0	0.894864975	0	0.891407814	0	0.919799975	0.898039144													
IFNA1	IFNA1	5.97E-06	0	0	0	0	0	0	0	1	0	0	1.78E-07	0	0.894876602	0	0.894143299	0	0.921027339	0.899846711													
MED10	MED10	6.02E-06	0	0	0	0	0	0	0	1	0	0	1.76E-07	0	0.894888227	0	0.894352372	0	0.921141516	1													
TCTEX1D2	TCTEX1D2	6.00E-06	0	0	1	0	0	0	0	0	0	0	2.33E-07	0	0.894899849	0	0.890519068	0	0.895823489	0.899947852													
PLEKHN1	PLEKHN1	2.98E-05	0	3	4	0	0	0	8	23	5	8	1.71E-07	0	0.894911467	0	0.894603925	0	0.880481411	0.93221732													
IGJ	IGJ	5.70E-06	0	0	0	0	0	0	0	0	0	1	1.97E-07	0	0.894923081	0	0.892977451	0	0.920415267	0.899037014													
GLRA3	GLRA3	1.75E-05	0	2	3	0	0	0	0	3	1	0	4.60E-07	0	0.894934691	0	0.874925519	0	0.881176244	0.86271292													
MTCP1	MTCP1	5.66E-06	0	0	0	0	0	0	0	0	0	0	1.95E-07	0	0.894946298	0	0.893102499	0	0.922183836	1													
KRTAP10-11	KRTAP10-11	1.43E-05	0	0	1	1	1	0	1	4	1	1	1.81E-07	0	0.894957901	0	0.894077028	0	0.888840248	0.93456702													
PDCD6IP	PDCD6IP	2.78E-05	0	1	1	0	0	0	2	4	0	0	3.12E-07	0	0.8949695	0	0.884460319	0	0.878967388	0.934852748													
GSTZ1	GSTZ1	6.87E-06	0	0	1	0	0	0	1	4	4	3	1.78E-07	0	0.894981096	0	0.894275482	0	0.895811888	0.714957482													
FGF4	FGF4	5.91E-06	0	0	0	0	0	0	1	2	2	2	1.81E-07	0	0.894992688	0	0.894099132	0	0.921092646	0.899643417													
IFNG	IFNG	5.88E-06	0	0	0	0	0	0	0	1	0	0	1.86E-07	0	0.895004276	0	0.893732704	0	0.92083042	0.927204994													
RPL22	RPL22	5.62E-06	0	0	0	0	0	0	0	0	0	0	1.99E-07	0	0.895015861	0	0.892874822	0	0.922126437	1													
TNIP1	TNIP1	2.95E-05	0	0	1	1	0	0	8	22	3	10	2.07E-07	0	0.895027443	0	0.892392133	0	0.880089785	0.935780124													
GLRX2	GLRX2	6.53E-06	0	0	1	0	0	0	0	3	2	1	2.02E-07	0	0.89503902	0	0.892691651	0	0.895344962	0.901394493													
TLCD1	TLCD1	1.43E-05	0	1	0	0	2	0	2	8	3	2	1.78E-07	0	0.895050594	0	0.894319439	0	0.888964278	0.920951528													
MRPS6	MRPS6	5.45E-06	0	0	0	0	0	0	1	4	0	0	2.13E-07	0	0.895062164	0	0.891973417	0	0.920038711	0.898229445													
TXNDC17	TXNDC17	6.05E-06	0	0	0	0	0	0	0	1	0	1	1.77E-07	0	0.89507373	0	0.894418149	0	0.921152364	0.900048674													
SHC3	SHC3	2.47E-05	0	0	1	1	0	0	1	7	2	1	5.04E-07	0	0.895085292	0	0.873388663	0	0.87714138	0.939076493													
NIPA2	NIPA2	1.38E-05	0	0	1	1	1	0	2	6	0	0	2.14E-07	0	0.895096851	0	0.891950021	0	0.888549607	0.920180015													
OSBPL5	OSBPL5	4.65E-05	0	2	3	1	0	0	7	11	7	4	1.90E-07	0	0.895108406	0	0.893576152	0	0.87182271	0.943216089													
ATG12	ATG12	5.82E-06	0	0	0	0	0	0	0	4	1	0	1.90E-07	0	0.895119957	0	0.89352008	0	0.920742417	0.933739063													
DUOXA2	DUOXA2	2.21E-05	0	1	0	1	3	0	0	7	4	0	1.72E-07	0	0.895131506	0	0.894658392	0	0.884831961	0.946135432													
BTBD7	BTBD7	4.44E-05	0	1	0	0	0	0	6	18	13	14	3.55E-07	0	0.89514305	0	0.881051574	0	0.868833546	0.906892435													
RPA3	RPA3	5.19E-06	0	0	1	0	0	0	1	0	0	0	2.90E-07	0	0.895154591	0	0.886678193	0	0.893330874	0.81770235													
IFNA13	IFNA13	6.00E-06	0	0	0	0	0	0	0	3	0	0	1.82E-07	0	0.895166129	0	0.894176389	0	0.920994624	1													
EIF1AX	EIF1AX	5.43E-06	0	0	0	0	0	0	0	0	0	0	2.14E-07	0	0.895177664	0	0.8920552	0	0.921758129	1													
LY96	LY96	5.07E-06	0	0	0	0	0	0	1	0	0	1	2.39E-07	0	0.895189195	0	0.890324177	0	0.919362422	0.896884944													
SCIMP	SCIMP	5.48E-06	0	0	0	0	0	0	0	0	0	0	2.11E-07	0	0.895200723	0	0.892299492	0	0.921858627	0.898312341													
EIF1AD	EIF1AD	6.09E-06	0	0	0	0	0	0	0	0	1	2	1.74E-07	0	0.895212247	0	0.894625722	0	0.921314542	0.821296213													
CABP1	CABP1	6.69E-06	0	0	1	0	0	0	1	1	0	0	1.96E-07	0	0.895223768	0	0.893328796	0	0.895485636	0.934318885													
SNRPD2	SNRPD2	5.86E-06	0	0	0	0	0	0	0	0	0	0	1.87E-07	0	0.895235285	0	0.893910825	0	0.922556393	1													
BIK	BIK	5.81E-06	0	0	0	0	0	0	0	2	1	1	1.93E-07	0	0.895246799	0	0.893508855	0	0.920753434	0.899358836													
CALM1	CALM1	5.96E-06	0	0	0	0	0	0	0	0	0	0	1.81E-07	0	0.895258309	0	0.894363343	0	0.922735546	0.943150318													
NUDT4	NUDT4	5.50E-06	0	0	0	0	0	0	0	0	0	0	2.11E-07	0	0.895269815	0	0.892415257	0	0.921900822	0.285506952													
CYP4A22	CYP4A22	2.17E-05	0	1	3	1	0	0	7	16	3	7	1.93E-07	0	0.895281318	0	0.893564944	0	0.884561984	0.692810049													
PABPC4	PABPC4	2.97E-05	0	1	1	0	0	0	1	4	1	1	2.01E-07	0	0.895292818	0	0.893057076	0	0.880155216	0.935934319													
MAML2	MAML2	3.54E-05	0	1	0	0	0	0	4	23	10	5	8.91E-07	0	0.895304314	0	0.864028962	0	0.857048928	0.938313681													
BTF3L4	BTF3L4	5.04E-06	0	0	0	0	0	0	0	1	0	0	2.44E-07	0	0.895315806	0	0.890042261	0	0.919251912	1													
ADH7	ADH7	1.44E-05	0	0	1	1	1	0	4	13	6	0	1.83E-07	0	0.895327294	0	0.894264484	0	0.888881634	0.934653646													
DNAJC24	DNAJC24	4.89E-06	0	0	1	0	0	0	0	2	1	1	3.13E-07	0	0.895338779	0	0.884925001	0	0.892807255	0.940025279													
C9orf169	C9orf169	5.92E-06	0	0	0	0	0	0	0	0	0	0	1.85E-07	0	0.895350261	0	0.894209448	0	0.922664035	1													
UBA52	UBA52	6.04E-06	0	0	0	0	0	0	0	0	0	0	1.78E-07	0	0.895361739	0	0.894582116	0	0.922842445	1													
SPATA19	SPATA19	6.89E-06	0	0	1	0	0	0	4	5	0	1	1.83E-07	0	0.895373214	0	0.894385275	0	0.89585827	0.928362227													
GNG12	GNG12	2.40E-06	0	0	0	0	0	0	0	4	0	1	4.20E-07	0	0.895384686	0	0.877026528	0	0.914846116	0.889238024													
PITHD1	PITHD1	5.86E-06	0	0	0	0	0	0	0	4	1	0	1.93E-07	0	0.895396155	0	0.893710378	0	0.920819435	0.899507145													
PAM16	PAM16	6.77E-06	0	0	1	0	0	0	0	1	1	0	1.94E-07	0	0.89540762	0	0.893688041	0	0.895614135	0.902134589													
TMEM223	TMEM223	7.08E-06	0	0	1	0	0	0	0	1	0	0	1.76E-07	0	0.895419081	0	0.89470191	0	0.895950876	0.928537929													
NHP2L1	NHP2L1	5.83E-06	0	0	0	0	0	0	0	2	0	0	1.97E-07	0	0.895430538	0	0.89346392	0	0.920665165	0.899415964													
HES3	HES3	6.12E-06	0	0	0	0	0	0	0	3	0	0	1.80E-07	0	0.895441992	0	0.894538458	0	0.921233576	0.900215996													
TXN2	TXN2	6.78E-06	0	0	1	0	0	0	3	5	0	0	1.91E-07	0	0.895453442	0	0.893833002	0	0.895707316	0.824690701													
APOM	APOM	7.23E-06	0	0	1	0	0	0	0	7	0	1	1.78E-07	0	0.895464889	0	0.894680155	0	0.895742202	0.903442042													
NDUFA7	NDUFA7	5.97E-06	0	0	0	0	0	0	2	8	1	1	1.85E-07	0	0.895476332	0	0.894308455	0	0.921174045	0.899857965													
EEF1E1	EEF1E1	6.51E-06	0	0	0	0	1	0	0	2	1	0	2.11E-07	0	0.895487771	0	0.892588237	0	0.89522733	0.901319471													
RBM18	RBM18	6.35E-06	0	0	1	0	0	0	0	0	0	0	2.19E-07	0	0.895499207	0	0.892020172	0	0.896227393	0.900930702													
GAGE1	GAGE1	5.75E-06	0	0	0	0	0	0	0	0	0	0	1.98E-07	0	0.89551064	0	0.893441432	0	0.922355266	1													
DHFRL1	DHFRL1	6.82E-06	0	0	0	0	1	0	1	4	0	0	1.93E-07	0	0.895522069	0	0.893810736	0	0.895649104	0.90224923													
MS4A13	MS4A13	5.34E-06	0	0	0	0	0	0	1	3	0	0	2.27E-07	0	0.895533494	0	0.89146713	0	0.919896863	0.897895673													
LY6E	LY6E	7.06E-06	0	0	0	0	1	0	2	0	4	4	1.83E-07	0	0.895544917	0	0.894472881	0	0.895753825	0.928520063													
FAM72A	FAM72A	5.37E-06	0	0	0	0	0	0	0	0	0	0	2.24E-07	0	0.895556336	0	0.891821076	0	0.921678518	0.897979442													
TEX9	TEX9	1.39E-05	0	4	8	1	0	0	2	11	4	2	3.44E-07	0	0.895567751	0	0.882591259	0	0.885633278	0.937904654													
KDM2B	KDM2B	7.95E-05	0	1	1	2	0	0	1	17	1	2	4.77E-07	0	0.895579163	0	0.874678491	0	0.83575486	0.940202662													
TMEM31	TMEM31	6.03E-06	0	0	0	0	0	0	1	2	0	0	1.84E-07	0	0.895590571	0	0.894450998	0	0.921238981	0.88681481													
CD3D	CD3D	7.02E-06	0	0	1	0	0	0	0	1	2	0	1.81E-07	0	0.895601977	0	0.894636616	0	0.895916177	0.902815947													
IFITM2	IFITM2	7.09E-06	0	0	1	0	0	0	0	2	0	0	1.79E-07	0	0.895613379	0	0.894691035	0	0.895927747	1													
ZNRF2	ZNRF2	3.46E-06	0	0	0	0	0	0	1	1	0	0	3.49E-07	0	0.895624778	0	0.882263908	0	0.916533696	0.891650102													
SDHAF2	SDHAF2	6.62E-06	0	0	1	0	0	0	0	1	0	0	2.09E-07	0	0.895636173	0	0.892909064	0	0.895356704	0.82383089													
STRN	STRN	2.62E-05	0	0	1	1	0	0	0	5	1	1	4.26E-07	0	0.895647565	0	0.876908451	0	0.877891239	0.9338456													
AXIN1	AXIN1	4.66E-05	0	1	0	0	0	0	9	18	7	7	2.37E-07	0	0.895658953	0	0.891050029	0	0.871119728	0.912724486													
TMEM119	TMEM119	1.53E-05	0	2	4	1	1	0	3	3	2	0	1.79E-07	0	0.895670338	0	0.894788805	0	0.888618937	0.788540211													
IL26	IL26	5.78E-06	0	0	0	0	0	0	0	0	1	2	2.02E-07	0	0.89568172	0	0.893418931	0	0.920709338	0.899290151													
ARL6	ARL6	6.08E-06	0	0	0	0	1	0	1	3	1	0	2.41E-07	0	0.895693098	0	0.89068881	0	0.894633469	0.900126868													
PTTG1IP	PTTG1IP	7.11E-06	0	0	1	0	0	0	1	2	0	0	1.77E-07	0	0.895704472	0	0.894907957	0	0.895997099	0.92856292													
KRT5	KRT5	3.02E-05	0	1	1	0	0	0	1	9	5	6	1.74E-07	0	0.895715843	0	0.895166573	0	0.880448859	0.940493568													
C3orf27	C3orf27	6.30E-06	0	0	0	0	0	0	0	6	0	0	1.78E-07	0	0.89572721	0	0.894864674	0	0.921292975	0.900778194													
MOB1A	MOB1A	5.55E-06	0	0	0	0	0	0	0	0	0	0	2.15E-07	0	0.895738574	0	0.892611242	0	0.921990257	0.898583156													
UBE2D2	UBE2D2	3.97E-06	0	0	0	0	0	0	0	0	0	0	3.16E-07	0	0.895749934	0	0.885190138	0	0.91908823	1													
TET1	TET1	7.68E-05	0	0	1	0	0	1	6	19	9	4	3.99E-07	0	0.895761291	0	0.878436609	0	0.83234255	0.798000266													
PISD	PISD	2.19E-05	0	0	3	2	0	0	5	18	6	6	1.88E-07	0	0.895772645	0	0.894440051	0	0.884802046	0.930414602													
HIGD2A	HIGD2A	7.11E-06	0	0	1	0	0	0	1	1	0	0	1.78E-07	0	0.895783995	0	0.894918769	0	0.896008646	0.903110457													
CDK2AP1	CDK2AP1	5.87E-06	0	0	0	0	0	0	0	0	1	0	1.98E-07	0	0.895795342	0	0.893766166	0	0.920890751	1													
ZNRD1	ZNRD1	6.43E-06	0	0	0	0	0	0	1	4	0	1	1.65E-07	0	0.895806685	0	0.895657305	0	0.921763428	1													
PTN	PTN	6.01E-06	0	0	0	0	0	0	0	2	0	1	1.93E-07	0	0.895818025	0	0.894198432	0	0.921005534	0.927348828													
PANK4	PANK4	4.72E-05	0	0	0	1	0	0	0	9	5	5	1.99E-07	0	0.895829361	0	0.893755015	0	0.871595515	0.945049586													
LIPA	LIPA	1.42E-05	0	0	2	1	0	0	0	2	2	3	2.01E-07	0	0.895840694	0	0.89365451	0	0.888812635	0.938056535													
RFXAP	RFXAP	5.95E-06	0	0	0	0	0	0	1	3	1	2	1.93E-07	0	0.895852023	0	0.894242479	0	0.921136091	0.899756525													
IFNA4	IFNA4	6.09E-06	0	0	0	0	0	0	0	0	0	0	1.83E-07	0	0.895863349	0	0.894734519	0	0.922938781	0.886896687													
SSBP1	SSBP1	5.90E-06	0	0	0	0	0	0	0	0	0	0	1.95E-07	0	0.895874672	0	0.894110178	0	0.922623082	0.899620745													
PMPCA	PMPCA	2.99E-05	0	1	1	0	0	0	4	18	5	5	1.92E-07	0	0.89588599	0	0.89433042	0	0.880367434	0.826869116													
CWC22	CWC22	2.84E-05	0	1	1	0	0	0	2	8	2	5	2.91E-07	0	0.895897306	0	0.887421639	0	0.879382525	0.879618177													
FAM102B	FAM102B	1.24E-05	0	0	2	1	0	0	1	9	1	3	3.25E-07	0	0.895908617	0	0.884658106	0	0.887256757	0.848199507													
LIMD2	LIMD2	7.68E-06	0	1	4	1	0	0	0	1	0	0	1.87E-07	0	0.895919925	0	0.894549378	0	0.895215545	0.862106555													
SCAND1	SCAND1	6.14E-06	0	0	0	0	0	0	0	0	0	0	1.81E-07	0	0.89593123	0	0.894897141	0	0.922994387	1													
C7orf55	C7orf55	6.99E-06	0	0	1	0	0	0	2	2	3	4	1.87E-07	0	0.895942531	0	0.894593023	0	0.895939313	1													
DYDC1	DYDC1	5.72E-06	0	0	0	0	0	0	0	2	0	0	2.12E-07	0	0.895953829	0	0.893022972	0	0.920426425	0.819587102													
CD68	CD68	1.47E-05	0	1	2	0	0	0	0	10	3	1	1.74E-07	0	0.895965123	0	0.895316595	0	0.889170293	0.855734901													
DPPA5	DPPA5	7.20E-06	0	0	1	0	0	0	0	2	0	0	1.78E-07	0	0.895976413	0	0.895155834	0	0.896043266	0.903321892													
MYL12A	MYL12A	6.23E-06	0	0	0	0	0	0	0	2	0	1	1.81E-07	0	0.895987701	0	0.894886322	0	0.921389891	0.900492883													
TMEM100	TMEM100	5.93E-06	0	0	0	0	0	0	2	2	0	1	1.96E-07	0	0.895998984	0	0.894187411	0	0.92109808	0.899711329													
UBQLNL	UBQLNL	1.56E-05	0	2	3	1	2	0	2	9	2	3	1.59E-07	0	0.896010265	0	0.896047456	0	0.88900555	0.735192444													
CDKN2AIPNL	CDKN2AIPNL	5.93E-06	0	0	0	0	0	0	0	0	1	0	1.98E-07	0	0.896021542	0	0.894043847	0	0.92102189	0.927239149													
C11orf73	C11orf73	5.81E-06	0	0	1	0	0	0	0	4	0	0	2.69E-07	0	0.896032816	0	0.88904529	0	0.894030355	0.820018827													
HIST1H2BB	HIST1H2BB	7.13E-06	0	0	1	0	0	0	0	0	0	0	1.79E-07	0	0.896044086	0	0.895177308	0	0.897391772	0.903181102													
TCF15	TCF15	6.24E-06	0	0	0	0	0	0	0	2	0	0	1.81E-07	0	0.896055352	0	0.895015935	0	0.921448943	0.900558969													
HHLA3	HHLA3	6.00E-06	0	0	0	0	0	0	1	0	3	1	1.98E-07	0	0.896066615	0	0.894088081	0	0.920956405	0.820934003													
NXT1	NXT1	6.21E-06	0	0	0	0	0	0	0	1	0	0	1.82E-07	0	0.896077875	0	0.894961985	0	0.921427485	0.900426649													
YPEL5	YPEL5	5.91E-06	0	0	0	0	0	0	0	1	0	1	2.02E-07	0	0.896089131	0	0.893799599	0	0.920852374	0.899666071													
CLEC2A	CLEC2A	6.79E-06	0	0	1	0	0	0	0	0	0	0	2.01E-07	0	0.896100384	0	0.893899717	0	0.896785857	1													
FAM9B	FAM9B	6.89E-06	0	0	1	0	0	0	2	3	0	0	1.96E-07	0	0.896111633	0	0.894253483	0	0.895788673	0.902446246													
NKAIN1	NKAIN1	6.00E-06	0	0	1	0	0	0	0	4	0	0	2.59E-07	0	0.896122879	0	0.889919034	0	0.894308947	0.82099452													
MIA	MIA	6.25E-06	0	0	0	0	0	0	0	1	0	0	1.81E-07	0	0.896134122	0	0.895123599	0	0.921518558	0.900613926													
CDA	CDA	6.40E-06	0	0	0	0	0	0	2	7	1	2	1.69E-07	0	0.896145361	0	0.895678499	0	0.921869182	0.901028349													
H2BFM	H2BFM	6.09E-06	0	0	0	0	0	0	0	0	0	0	1.87E-07	0	0.896156597	0	0.894723653	0	0.92293372	1													
SPATA33	C16orf55	7.17E-06	0	0	0	0	1	0	3	1	2	4	1.80E-07	0	0.89616783	0	0.89518804	0	0.896077856	1													
IDUA	IDUA	3.00E-05	0	2	3	1	1	0	4	18	4	3	1.85E-07	0	0.896179059	0	0.894853845	0	0.880497677	0.763535841													
NDP	NDP	5.77E-06	0	0	0	0	0	0	0	0	0	0	2.08E-07	0	0.896190284	0	0.893542519	0	0.92238114	0.899255751													
CKLF	CKLF	6.88E-06	0	0	1	0	0	0	0	2	0	1	2.02E-07	0	0.896201506	0	0.893877492	0	0.895637451	0.825313295													
GAPT	GAPT	6.32E-06	0	0	0	0	0	0	0	2	1	0	1.75E-07	0	0.896212724	0	0.895391388	0	0.921694458	0.900865432													
C16orf87	C16orf87	5.27E-06	0	0	0	0	0	0	1	0	0	0	2.42E-07	0	0.896223938	0	0.891229339	0	0.919777128	0.897558319													
COTL1	COTL1	6.68E-06	0	0	0	0	0	0	0	0	0	0	1.50E-07	0	0.896235149	0	0.896887255	0	0.923848599	0.901840747													
CETN2	CETN2	6.16E-06	0	0	0	0	0	0	0	0	0	0	1.84E-07	0	0.896246357	0	0.894994364	0	0.92302467	0.900327035													
KRTAP5-9	KRTAP5-9	6.28E-06	0	0	0	0	0	0	0	2	2	0	1.78E-07	0	0.896257561	0	0.895348665	0	0.921646605	0.900723539													
RBX1	RBX1	5.51E-06	0	0	0	0	0	0	0	0	0	0	2.25E-07	0	0.896268762	0	0.892484542	0	0.921921892	1													
PRIMA1	PRIMA1	5.91E-06	0	0	0	0	0	0	0	6	0	1	2.13E-07	0	0.896279959	0	0.893283644	0	0.920325822	0.899654746													
SPAG1	SPAG1	2.76E-05	0	1	4	2	0	0	2	12	3	4	3.39E-07	0	0.896291153	0	0.883904194	0	0.878883977	0.930326055													
CHCHD10	CHCHD10	6.28E-06	0	0	0	0	0	0	2	2	0	0	1.79E-07	0	0.896302344	0	0.895337979	0	0.921641283	0.887092527													
DLEU7	DLEU7	4.09E-06	0	0	1	0	0	0	0	0	0	0	3.76E-07	0	0.896313531	0	0.880820311	0	0.892970124	1													
LEP	LEP	6.35E-06	0	0	0	0	0	0	0	0	0	0	1.73E-07	0	0.896324715	0	0.895636102	0	0.923280645	1													
C14orf1	C14orf1	6.07E-06	0	0	0	0	0	0	0	2	0	0	1.96E-07	0	0.896335896	0	0.894461941	0	0.921195709	0.900093381													
POLR2J3	POLR2J3	4.79E-06	0	0	0	0	0	0	0	0	0	0	2.73E-07	0	0.896347075	0	0.889133558	0	0.920582131	0.896044859													
UBD	UBD	6.48E-06	0	0	0	0	0	0	2	3	1	1	1.66E-07	0	0.89635825	0	0.895942409	0	0.922063675	1													
RPS27A	RPS27A	6.25E-06	0	0	0	0	0	0	0	0	0	0	1.80E-07	0	0.896369422	0	0.895295198	0	0.923160496	1													
MRPL44	MRPL44	1.45E-05	0	1	2	0	0	0	2	9	3	2	1.87E-07	0	0.89638059	0	0.894951186	0	0.889142877	0.921330336													
LYL1	LYL1	6.21E-06	0	0	0	0	0	0	1	3	2	1	1.84E-07	0	0.896391754	0	0.895198769	0	0.921566648	0.900404539													
NPVF	NPVF	6.47E-06	0	0	0	0	0	0	1	2	0	0	1.70E-07	0	0.896402917	0	0.895858161	0	0.921937685	0.823425462													
MAL2	MAL2	5.62E-06	0	0	0	0	0	0	0	1	0	0	2.26E-07	0	0.896414077	0	0.892622739	0	0.920264151	0.898816725													
MRPL42	MRPL42	5.41E-06	0	0	0	0	0	0	1	3	0	1	2.39E-07	0	0.896425233	0	0.891750554	0	0.9199934	0.898051072													
GIP	GIP	6.06E-06	0	0	0	0	0	0	0	2	1	0	1.97E-07	0	0.896436386	0	0.894527536	0	0.92127139	0.900059857													
CLEC2D	CLEC2D	5.91E-06	0	0	0	0	0	0	1	4	2	1	2.04E-07	0	0.896447535	0	0.894132263	0	0.921114378	0.820386517													
POLR3K	POLR3K	6.33E-06	0	0	0	0	0	0	1	3	0	0	1.80E-07	0	0.896458681	0	0.895412732	0	0.92169977	1													
ATP5D	ATP5D	6.27E-06	0	0	0	0	0	0	0	3	1	0	1.84E-07	0	0.896469824	0	0.895252367	0	0.921571986	0.900646852													
RNASE7	RNASE7	6.45E-06	0	0	0	0	0	0	1	4	0	0	1.74E-07	0	0.896480963	0	0.895752583	0	0.921863905	0.901158075													
C2orf76	C2orf76	4.88E-06	0	0	0	0	0	0	2	3	0	1	2.72E-07	0	0.896492099	0	0.889522034	0	0.919094093	0.854870377													
KRTAP10-9	KRTAP10-9	1.49E-05	0	0	2	1	0	0	4	5	4	2	1.78E-07	0	0.896503231	0	0.895583041	0	0.889115444	0.921775982													
PLEKHG4	PLEKHG4	5.46E-05	0	2	2	2	2	0	7	34	10	8	1.90E-07	0	0.89651436	0	0.894929578	0	0.867189533	0.945213525													
C3orf36	C3orf36	7.39E-06	0	0	0	0	1	0	0	3	0	1	1.77E-07	0	0.896525485	0	0.895604275	0	0.896192936	1													
C17orf105	C17orf105	6.31E-06	0	0	0	0	0	0	0	0	0	0	1.80E-07	0	0.896536607	0	0.895497983	0	0.923220638	1													
FAM173A	FAM173A	7.33E-06	0	0	1	0	0	0	0	4	0	0	1.81E-07	0	0.896547725	0	0.895402062	0	0.89612393	0.928786563													
CRB3	CRB3	6.38E-06	0	0	0	0	0	0	3	11	0	1	1.81E-07	0	0.89655884	0	0.895434063	0	0.921635959	0.900995833													
SLC12A2	SLC12A2	4.41E-05	0	0	0	1	0	0	5	8	3	0	4.05E-07	0	0.896569952	0	0.87903689	0	0.868210428	0.925698464													
TMEM50B	TMEM50B	5.55E-06	0	0	0	0	0	0	1	5	0	0	2.33E-07	0	0.89658106	0	0.892311085	0	0.920129117	0.926728616													
CCL28	CCL28	5.48E-06	0	0	0	0	0	0	0	1	0	0	2.37E-07	0	0.896592164	0	0.891996801	0	0.920055683	0.818588686													
WDR83OS	WDR83OS	6.46E-06	0	0	0	0	0	0	0	2	0	0	1.76E-07	0	0.896603265	0	0.895689092	0	0.921784614	0.764532503													
